episode,reward
100,-0.6546875238418579
200,-0.6417499780654907
300,-0.8033750057220459
400,-0.3708125054836273
500,-0.3876875042915344
600,-0.26618748903274536
700,-0.4651874899864197
800,-0.44475001096725464
900,-0.43562498688697815
1000,-0.36274999380111694
1100,-0.39762499928474426
1200,-0.3996874988079071
1300,-0.3413124978542328
1400,-0.320125013589859
1500,-0.31318750977516174
1600,-0.3700000047683716
1700,-0.3817499876022339
1800,-0.3564375042915344
1900,-0.4483124911785126
2000,-0.35712501406669617
2100,0.43693751096725464
2200,0.5540000200271606
2300,0.445374995470047
2400,0.5006250143051147
2500,0.3167499899864197
2600,0.2956250011920929
2700,0.28981250524520874
2800,0.3061249852180481
2900,0.26387500762939453
3000,0.3228749930858612
3100,0.22243750095367432
3200,0.27799999713897705
3300,0.20118750631809235
3400,0.21074999868869781
3500,0.010062499903142452
3600,0.04493749886751175
3700,0.006312500219792128
3800,-0.20262500643730164
3900,0.051750000566244125
4000,0.3136875033378601
4100,0.10249999910593033
4200,0.03006250038743019
4300,0.04087499901652336
4400,0.05112500116229057
4500,-0.029750000685453415
4600,0.0005624999757856131
4700,0.03125
4800,-0.005499999970197678
4900,0.11150000244379044
5000,0.1615625023841858
5100,0.06475000083446503
5200,0.1443749964237213
5300,0.11468750238418579
5400,0.10525000095367432
5500,0.05324999988079071
5600,0.05999999865889549
5700,0.2698749899864197
5800,0.16568750143051147
5900,0.16293750703334808
6000,0.08950000256299973
6100,0.04287499934434891
6200,0.030625000596046448
6300,-0.007499999832361937
6400,-0.008249999955296516
6500,0.003687500022351742
6600,0.004875000100582838
6700,0.11281249672174454
6800,0.04724999889731407
6900,0.03031250089406967
7000,0.04912500083446503
7100,0.031562499701976776
7200,0.024187499657273293
7300,0.1391874998807907
7400,-0.08950000256299973
7500,0.0793749988079071
7600,0.026624999940395355
7700,0.07599999755620956
7800,0.06825000047683716
7900,0.10400000214576721
8000,0.004875000100582838
8100,-0.03312499821186066
8200,0.028875000774860382
8300,0.0071875001303851604
8400,0.0006249999860301614
8500,0.048250000923871994
8600,0.013624999672174454
8700,-0.07225000113248825
8800,-0.024125000461935997
8900,0.01981250010430813
9000,-0.0521249994635582
9100,0.011687500402331352
9200,0.0022499999031424522
9300,0.07218749821186066
9400,-0.04399999976158142
9500,0.03962500020861626
9600,0.01549999974668026
9700,0.0253749992698431
9800,0.004437500145286322
9900,0.025312500074505806
10000,0.008750000037252903
10100,0.04093749821186066
10200,0.011687500402331352
10300,0.046687498688697815
10400,0.05362499877810478
10500,0.19318750500679016
10600,0.061250001192092896
10700,-0.032749999314546585
10800,0.0741875022649765
10900,-0.04399999976158142
11000,-0.00937500037252903
11100,0.017500000074505806
11200,-0.0026875000912696123
11300,-0.0032500000670552254
11400,0.04156250134110451
11500,-0.020874999463558197
11600,-0.04018750041723251
11700,-0.025875000283122063
11800,0.06131250038743019
11900,0.08643750101327896
12000,0.001312499982304871
12100,-0.03881249949336052
12200,0.08668749779462814
12300,0.1443749964237213
12400,0.10637500137090683
12500,-0.03812500089406967
12600,0.023125000298023224
12700,0.10575000196695328
12800,0.0293125007301569
12900,0.02306249924004078
13000,0.042374998331069946
13100,0.1223749965429306
13200,-0.0768750011920929
13300,0.03606250137090683
13400,0.10187499970197678
13500,0.1171249970793724
13600,0.12974999845027924
13700,0.1407500058412552
13800,0.0638125017285347
13900,0.10118749737739563
14000,0.14043749868869781
14100,0.07724999636411667
14200,0.14656250178813934
14300,0.08699999749660492
14400,0.1809374988079071
14500,0.028750000521540642
14600,0.11112499982118607
14700,0.18449999392032623
14800,0.1472499966621399
14900,0.0794999971985817
15000,0.07412499934434891
15100,0.1353749930858612
15200,0.12118750065565109
15300,0.19587500393390656
15400,0.1940625011920929
15500,0.1509999930858612
15600,0.23250000178813934
15700,0.18162499368190765
15800,0.20918749272823334
15900,0.30668750405311584
16000,0.3058750033378601
16100,0.22731250524520874
16200,0.3476249873638153
16300,0.2448749989271164
16400,0.23100000619888306
16500,0.21537500619888306
16600,0.3480624854564667
16700,0.2593125104904175
16800,0.2433750033378601
16900,0.26881250739097595
17000,0.2342499941587448
17100,0.30262500047683716
17200,0.35874998569488525
17300,0.2838749885559082
17400,0.2251874953508377
17500,0.2461874932050705
17600,0.20543749630451202
17700,0.3149999976158142
17800,0.23600000143051147
17900,0.28331249952316284
18000,0.28862500190734863
18100,0.24387499690055847
18200,0.34968748688697815
18300,0.2955000102519989
18400,0.2667500078678131
18500,0.32468751072883606
18600,0.2773750126361847
18700,0.33012500405311584
18800,0.31587499380111694
18900,0.24137499928474426
19000,0.23406249284744263
19100,0.2877500057220459
19200,0.28443750739097595
19300,0.3082500100135803
19400,0.23756250739097595
19500,0.1887499988079071
19600,0.2303750067949295
19700,0.24581250548362732
19800,0.23081250488758087
19900,0.21331250667572021
